,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
551,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO588,Utrecht (Utrecht: wijk Lombok),K11.1,ATU 0275C,mondeling
552,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO592,Utrecht (Utrecht: wijk Lombok),K11.3,ATU 0275A,mondeling
553,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO594,Utrecht (Utrecht: wijk Lombok),Z81;J2133.7;K891.1,ATU 0124,mondeling
554,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO595,Utrecht (Utrecht: wijk Lombok),K1839.1;F913;Q426;K311.3;K1832;J144,ATU 0123,mondeling
555,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO597,Utrecht (Utrecht: wijk Lombok),K2011;F913,ATU 0333,mondeling
556,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO598,Utrecht (Utrecht: wijk Lombok),K11.3,ATU 0275A,mondeling
557,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO600,Utrecht (Utrecht: wijk Lombok),J711.1,ATU 0280A,mondeling
558,Ilja Hijink,LOMBOK03.20E,2000-05-31 00:00:00,sprookje,LOMBO601,Utrecht (Utrecht: wijk Lombok),B371.1;B363;B437.2,ATU 0075,mondeling
559,Ilja Hijink,DIVTEXT3.20E,2000-05-23 00:00:00,sprookje,DIVTX631,Utrecht (Utrecht: wijk Lombok),K11.3,ATU 0275A,mondeling
560,Ilja Hijink,LOMBOK03.20E,2000-06-09 00:00:00,sprookje,LOMBO604,Utrecht (Utrecht: wijk Lombok),B422;B580,ATU 0545B,mondeling
561,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO617,Utrecht (Utrecht; wijk Lombok),K11.1,ATU 0275C,mondeling
562,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO618,Utrecht (Utrecht; wijk Lombok),N776;K335.1.4;K1161;B296,ATU 0130,mondeling
563,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO619,Utrecht (Utrecht; wijk Lombok),S215.1;B211.7.1;D789,ATU 0440,mondeling
564,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO620,Utrecht (Utrecht; wijk Lombok),B422;B211.1.8;B582.1.1;K722,ATU 0545B,mondeling
565,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO621,Utrecht (Utrecht; wijk Lombok),K1151,ATU 0212,mondeling
566,,MOPPEN4.20E,2000-09-20 00:00:00,mop,MOP40602,,R135;G526;G412.1;G512.3.2;S321;S143;F771.1.10,ATU 0327A,email
567,Theo Meder,LOMBOK3.20E,2000-09-21 00:00:00,sprookje,LOMBO664,"Utrecht (Utrecht, wijk: Lombok)",B170;D1761.0.1;B375.1;Q338,ATU 0555,mondeling
568,Theo Meder,LOMBOK3.20E,2000-09-24 00:00:00,sprookje,LOMBO670,"Utrecht (Utrecht, wijk: Lombok)",E238;M253,ATU 0470,mondeling
569,Theo Meder,LOMBOK03.20E,1998-01-01 00:00:00,mop,LOMBO675,"Utrecht (Utrecht, wijk: Lombok)",K402.1,ATU 0785A,almanak
570,Theo Meder,LOMBOK03.20E,1998-01-01 00:00:00,mop,LOMBO676,"Utrecht (Utrecht, wijk: Lombok)",X902,ATU 1348**,almanak
571,Theo Meder,LOMBOK03.20E,1998-01-01 00:00:00,mop,LOMBO677,"Utrecht (Utrecht, wijk: Lombok)",J1561.3,ATU 1558,almanak
572,Theo Meder,LOMBOK03.20E,1998-01-01 00:00:00,mop,LOMBO680,"Utrecht (Utrecht, wijk: Lombok)",J1531.3,ATU 1592B,almanak
